1.000000,0.001300,0
0.950000,0.009000,0
0.900000,0.015700,0
0.800000,0.028000,0
0.700000,0.038800,0
0.600000,0.048500,0
0.500000,0.056300,0
0.400000,0.062000,0
0.300000,0.064700,0
0.250000,0.064400,0
0.200000,0.062800,0
0.150000,0.059000,0
0.100000,0.052000,0
0.075000,0.046900,0
0.050000,0.040100,0
0.025000,0.029700,0
0.012500,0.021500,0
0.000000,0.000000,0
0.012500,-0.021500,0
0.025000,-0.029700,0
0.050000,-0.040100,0
0.075000,-0.046900,0
0.100000,-0.052000,0
0.150000,-0.059000,0
0.200000,-0.062800,0
0.250000,-0.064400,0
0.300000,-0.064700,0
0.400000,-0.062000,0
0.500000,-0.056300,0
0.600000,-0.048500,0
0.700000,-0.038800,0
0.800000,-0.028000,0
0.900000,-0.015700,0
0.950000,-0.009000,0
1.000000,-0.001300,0
